Frequency_Hz,SPL_dB,BPF_Ratio
2263.3335,-83.002716,9.700001
2275.0,-88.40402,9.75
2286.6667,-85.939476,9.8
2298.3335,-79.44243,9.850001
2310.0,-78.825325,9.900001
2321.6667,-70.380165,9.950001
2333.3335,-63.310547,10.000001
2345.0,-65.46915,10.05
2356.6667,-72.68224,10.1
2368.3335,-74.00182,10.150001
2380.0,-72.44017,10.2
2391.6667,-73.407394,10.250001
2403.3335,-90.36931,10.300001
2415.0,-78.058685,10.35
2426.6667,-78.89403,10.400001
2438.3335,-76.34653,10.450001
2450.0,-78.69488,10.5
2461.6667,-75.750946,10.55
2473.3335,-78.22213,10.600001
2485.0,-90.727554,10.650001
2496.6667,-94.88017,10.700001
2508.3335,-81.745514,10.750001
2520.0,-88.60915,10.8
2531.6667,-84.504364,10.85
2543.3335,-76.55154,10.900001
2555.0,-73.55063,10.95
2566.6667,-62.772377,11.000001
2578.3335,-68.70294,11.050001
2590.0,-77.90676,11.1
2601.6667,-82.99508,11.150001
2613.3335,-80.34522,11.200001
2625.0,-93.23123,11.25
2636.6667,-87.51954,11.3
2648.3335,-81.277855,11.350001
2660.0,-80.13413,11.400001
2671.6667,-84.849335,11.450001
2683.3335,-74.03519,11.500001
2695.0,-78.926575,11.55
2706.6667,-88.533676,11.6
2718.3335,-84.23381,11.650001
2730.0,-85.085,11.7
2741.6667,-90.86194,11.750001
2753.3335,-83.57597,11.800001
2765.0,-81.8837,11.85
2776.6667,-89.144684,11.900001
2788.3335,-80.82898,11.950001
2800.0,-70.34895,12.0
2811.6667,-81.31094,12.05
2823.3335,-92.51339,12.100001
2835.0,-81.71136,12.150001
2846.6667,-82.819435,12.200001
2858.3335,-77.06195,12.250001
2870.0,-88.28798,12.3
2881.6667,-80.767525,12.35
2893.3335,-82.51151,12.400001
2905.0,-82.73113,12.45
2916.6667,-84.54238,12.500001
2928.3335,-92.493324,12.550001
2940.0,-84.59893,12.6
2951.6667,-92.14131,12.650001
2963.3335,-84.14208,12.700001
2975.0,-87.24323,12.75
2986.6667,-84.33883,12.8
2998.3335,-89.97265,12.850001
3010.0,-92.57031,12.900001
3021.6667,-78.75396,12.950001
3033.3335,-72.01281,13.000001
3045.0,-77.993164,13.05
3056.6667,-89.20935,13.1
3068.3335,-80.87605,13.150001
3080.0,-80.58784,13.200001
3091.6667,-87.5051,13.250001
3103.3335,-89.51252,13.300001
3115.0,-93.538864,13.35
3126.6667,-85.65289,13.400001
3138.3335,-111.861176,13.450001
3150.0,-85.79672,13.5
3161.6667,-82.02412,13.55
3173.3335,-87.30733,13.600001
3185.0,-98.78651,13.650001
